Season,Player,Position,Nationality,Team
1983,Sidney Moncrief,Shooting guard, United States,Milwaukee Bucks
1984,Sidney Moncrief,Shooting guard, United States,Milwaukee Bucks 
1985,Mark Eaton,Center, United States,Utah Jazz
1986,Alvin Robertson,Shooting guard, United States,San Antonio Spurs
1987,Michael Cooper,Shooting guard, United States,Los Angeles Lakers
1988,Michael Jordan,Shooting guard, United States,Chicago Bulls
1989,Mark Eaton,Center, United States,Utah Jazz 
1990,Dennis Rodman,Small forward, United States,Detroit Pistons
1991,Dennis Rodman,Small forward, United States,Detroit Pistons 
1992,David Robinson,Center, United States,San Antonio Spurs 
1993,Hakeem Olajuwon,Center, Nigeria,Houston Rockets
1994,Hakeem Olajuwon,Center, Nigeria,Houston Rockets 
1995,Dikembe Mutombo,Center, Zaire,Denver Nuggets
1996,Gary Payton,Point guard, United States,Seattle SuperSonics
1997,Dikembe Mutombo,Center, Zaire,Atlanta Hawks
1998,Dikembe Mutombo,Center, Democratic Republic of the Congo,Atlanta Hawks 
1999,Alonzo Mourning,Center, United States,Miami Heat
2000,Alonzo Mourning,Center, United States,Miami Heat 
2001,Dikembe Mutombo,Center, Democratic Republic of the Congo,Philadelphia 76ers
2002,Ben Wallace,Center, United States,Detroit Pistons 
2003,Ben Wallace,Center, United States,Detroit Pistons 
2004,Ron Artest,Small forward, United States,Indiana Pacers
2005,Ben Wallace,Center, United States,Detroit Pistons 
2006,Ben Wallace,Center, United States,Detroit Pistons 
2007,Marcus Camby,Center, United States,Denver Nuggets 
2008,Kevin Garnett,Power forward, United States,Boston Celtics
2009,Dwight Howard,Center, United States,Orlando Magic
2010,Dwight Howard,Center, United States,Orlando Magic 
2011,Dwight Howard,Center, United States,Orlando Magic 
2012,Tyson Chandler,Center, United States,New York Knicks
2013,Marc Gasol,Center, Spain,Memphis Grizzlies
2014,Joakim Noah,Center, France,Chicago Bulls 
2015,Kawhi Leonard,Small forward, United States,San Antonio Spurs 
2016,Kawhi Leonard,Small forward, United States,San Antonio Spurs 
2017,Draymond Green,Power forward, United States,Golden State Warriors
2018,Rudy Gobert,Center, France,Utah Jazz 
2019,Rudy Gobert,Center, France,Utah Jazz 
2020,Giannis Antetokounmpo,Power forward, Greece,Milwaukee Bucks 
2021,Rudy Gobert,Center, France,Utah Jazz 
2022,Marcus Smart,Point guard, United States,Boston Celtics 
2023,Jaren Jackson,Power forward, United States,Memphis Grizzlies 
