Year,Player,Nationality,Team
1969,Jerry West, United States,Los Angeles Lakers 
1970,Willis Reed, United States,New York Knicks
1971,Kareem Abdul-Jabbar, United States,Milwaukee Bucks
1972,Wilt Chamberlain, United States,Los Angeles Lakers 
1973,Willis Reed, United States,New York Knicks 
1974,John Havlicek, United States,Boston Celtics
1975,Rick Barry, United States,Golden State Warriors
1976,Jo Jo White, United States,Boston Celtics 
1977,Bill Walton, United States,Portland Trail Blazers
1978,Wes Unseld, United States,Washington Bullets
1979,Dennis Johnson, United States,Seattle SuperSonics
1980,Magic Johnson, United States,Los Angeles Lakers 
1981,Cedric Maxwell, United States,Boston Celtics 
1982,Magic Johnson, United States,Los Angeles Lakers 
1983,Moses Malone, United States,Philadelphia 76ers
1984,Larry Bird, United States,Boston Celtics 
1985,Kareem Abdul-Jabbar, United States,Los Angeles Lakers 
1986,Larry Bird, United States,Boston Celtics 
1987,Magic Johnson, United States,Los Angeles Lakers 
1988,James Worthy, United States,Los Angeles Lakers 
1989,Joe Dumars, United States,Detroit Pistons
1990,Isiah Thomas, United States,Detroit Pistons 
1991,Michael Jordan, United States,Chicago Bulls
1992,Michael Jordan, United States,Chicago Bulls 
1993,Michael Jordan, United States,Chicago Bulls 
1994,Hakeem Olajuwon, United States,Houston Rockets
1995,Hakeem Olajuwon, United States,Houston Rockets 
1996,Michael Jordan, United States,Chicago Bulls 
1997,Michael Jordan, United States,Chicago Bulls 
1998,Michael Jordan, United States,Chicago Bulls 
1999,Tim Duncan, United States,San Antonio Spurs
2000,Shaquille O'Neal, United States,Los Angeles Lakers 
2001,Shaquille O'Neal, United States,Los Angeles Lakers 
2002,Shaquille O'Neal, United States,Los Angeles Lakers 
2003,Tim Duncan, United States,San Antonio Spurs 
2004,Chauncey Billups, United States,Detroit Pistons 
2005,Tim Duncan, United States,San Antonio Spurs 
2006,Dwyane Wade, United States,Miami Heat
2007,Tony Parker, France,San Antonio Spurs 
2008,Paul Pierce, United States,Boston Celtics 
2009,Kobe Bryant, United States,Los Angeles Lakers 
2010,Kobe Bryant, United States,Los Angeles Lakers 
2011,Dirk Nowitzki, Germany,Dallas Mavericks
2012,LeBron James, United States,Miami Heat 
2013,LeBron James, United States,Miami Heat 
2014,Kawhi Leonard, United States,San Antonio Spurs 
2015,Andre Iguodala, United States,Golden State Warriors 
2016,LeBron James, United States,Cleveland Cavaliers
2017,Kevin Durant, United States,Golden State Warriors 
2018,Kevin Durant, United States,Golden State Warriors 
2019,Kawhi Leonard, United States,Toronto Raptors
2020,LeBron James, United States,Los Angeles Lakers 
2021,Giannis Antetokounmpo, Greece,Milwaukee Bucks 
2022,Stephen Curry, United States,Golden State Warriors 
2023,Nikola Jokic, Serbia,Denver Nuggets
