,All-Star,DPOY,MVP,ROTY,FMVP,Six-Man,All-NBA,Draft-Year
LeBron James,20.0,0.0,4.0,1.0,4.0,0.0,19.0,2003.0
Kareem Abdul-Jabbar,19.0,0.0,6.0,1.0,2.0,0.0,15.0,1969.0
Kobe Bryant,18.0,0.0,1.0,0.0,2.0,0.0,15.0,1996.0
Tim Duncan,15.0,0.0,2.0,1.0,3.0,0.0,15.0,1997.0
Kevin Garnett,15.0,1.0,1.0,0.0,0.0,0.0,9.0,1995.0
Shaquille O'Neal,15.0,0.0,1.0,1.0,3.0,0.0,14.0,1992.0
Kevin Durant,14.0,0.0,1.0,1.0,2.0,0.0,10.0,2007.0
Michael Jordan,14.0,1.0,5.0,1.0,6.0,0.0,11.0,1984.0
Karl Malone,14.0,0.0,2.0,0.0,0.0,0.0,14.0,1985.0
Dirk Nowitzki,14.0,0.0,1.0,0.0,1.0,0.0,12.0,1998.0
Jerry West,14.0,0.0,0.0,0.0,1.0,0.0,12.0,1960.0
Wilt Chamberlain,13.0,0.0,4.0,1.0,1.0,0.0,10.0,1959.0
Bob Cousy,13.0,0.0,0.0,0.0,0.0,0.0,8.0,1950.0
John Havlicek,13.0,0.0,0.0,0.0,1.0,0.0,11.0,1962.0
Dwyane Wade,13.0,0.0,0.0,0.0,1.0,0.0,8.0,2003.0
Larry Bird,12.0,0.0,3.0,1.0,2.0,0.0,10.0,1978.0
Elvin Hayes,12.0,0.0,0.0,0.0,0.0,0.0,6.0,1968.0
Magic Johnson,12.0,0.0,3.0,0.0,3.0,0.0,10.0,1979.0
Moses Malone,12.0,0.0,3.0,0.0,1.0,0.0,8.0,1974.0
Hakeem Olajuwon,12.0,2.0,1.0,0.0,2.0,0.0,12.0,1984.0
Chris Paul,12.0,0.0,0.0,1.0,0.0,0.0,11.0,2005.0
Oscar Robertson,12.0,0.0,1.0,1.0,0.0,0.0,11.0,1960.0
Bill Russell,12.0,0.0,5.0,0.0,0.0,0.0,11.0,1956.0
Dolph Schayes,12.0,0.0,0.0,0.0,0.0,0.0,6.0,1948.0
Isiah Thomas,12.0,0.0,0.0,0.0,1.0,0.0,5.0,1981.0
Charles Barkley,11.0,0.0,1.0,0.0,0.0,0.0,11.0,1984.0
Elgin Baylor,11.0,0.0,0.0,1.0,0.0,0.0,10.0,1958.0
Chris Bosh,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2003.0
Julius Erving,11.0,0.0,1.0,0.0,0.0,0.0,7.0,1972.0
Patrick Ewing,11.0,0.0,0.0,1.0,0.0,0.0,7.0,1985.0
Allen Iverson,11.0,0.0,1.0,1.0,0.0,0.0,7.0,1996.0
Bob Pettit,11.0,0.0,2.0,1.0,0.0,0.0,10.0,1954.0
