Season,Player,Nationality,Team
1956,Bob Pettit, United States,St. Louis Hawks
1957,Bob Cousy , United States,Boston Celtics
1958,Bill Russell, United States,Boston Celtics
1959,Bob Pettit, United States,St. Louis Hawks
1960,Wilt Chamberlain, United States,Philadelphia Warriors
1961,Bill Russell, United States,Boston Celtics
1962,Bill Russell, United States,Boston Celtics
1963,Bill Russell, United States,Boston Celtics
1964,Oscar Robertson, United States,Cincinnati Royals
1965,Bill Russell, United States,Boston Celtics
1966,Wilt Chamberlain, United States,Philadelphia 76ers
1967,Wilt Chamberlain, United States,Philadelphia 76ers
1968,Wilt Chamberlain, United States,Philadelphia 76ers
1969,Wes Unseld, United States,Baltimore Bullets
1970,Willis Reed, United States,New York Knicks
1971,Kareem Abdul-Jabbar, United States,Milwaukee Bucks
1972,Kareem Abdul-Jabbar, United States,Milwaukee Bucks
1973,Dave Cowens, United States,Boston Celtics
1974,Kareem Abdul-Jabbar, United States,Milwaukee Bucks
1975,Bob McAdoo, United States,Buffalo Braves
1976,Kareem Abdul-Jabbar, United States,Los Angeles Lakers
1977,Kareem Abdul-Jabbar, United States,Los Angeles Lakers
1978,Bill Walton, United States,Portland Trail Blazers
1979,Moses Malone, United States,Houston Rockets
1980,Kareem Abdul-Jabbar, United States,Los Angeles Lakers
1981,Julius Erving, United States,Philadelphia 76ers
1982,Moses Malone, United States,Houston Rockets
1983,Moses Malone, United States,Philadelphia 76ers
1984,Larry Bird, United States,Boston Celtics
1985,Larry Bird, United States,Boston Celtics
1986,Larry Bird, United States,Boston Celtics
1987,Magic Johnson, United States,Los Angeles Lakers
1988,Michael Jordan, United States,Chicago Bulls
1989,Magic Johnson, United States,Los Angeles Lakers
1990,Magic Johnson, United States,Los Angeles Lakers
1991,Michael Jordan, United States,Chicago Bulls
1992,Michael Jordan, United States,Chicago Bulls
1993,Charles Barkley, United States,Phoenix Suns
1994,Hakeem Olajuwon, Nigeria,Houston Rockets
1995,David Robinson, United States,San Antonio Spurs
1996,Michael Jordan, United States,Chicago Bulls
1997,Karl Malone, United States,Utah Jazz
1998,Michael Jordan, United States,Chicago Bulls
1999,Karl Malone, United States,Utah Jazz
2000,Shaquille O'Neal, United States,Los Angeles Lakers
2001,Allen Iverson, United States,Philadelphia 76ers
2002,Tim Duncan, United States,San Antonio Spurs
2003,Tim Duncan, United States,San Antonio Spurs
2004,Kevin Garnett, United States,Minnesota Timberwolves
2005,Steve Nash, Canada,Phoenix Suns
2006,Steve Nash, Canada,Phoenix Suns
2007,Dirk Nowitzki, Germany,Dallas Mavericks
2008,Kobe Bryant, United States,Los Angeles Lakers
2009,LeBron James, United States,Cleveland Cavaliers
2010,LeBron James, United States,Cleveland Cavaliers
2011,Derrick Rose, United States,Chicago Bulls
2012,LeBron James, United States,Miami Heat
2013,LeBron James, United States,Miami Heat
2014,Kevin Durant, United States,Oklahoma City Thunder
2015,Stephen Curry, United States,Golden State Warriors
2016,Stephen Curry, United States,Golden State Warriors
2017,Russell Westbrook, United States,Oklahoma City Thunder
2018,James Harden, United States,Houston Rockets
2019,Giannis Antetokounmpo, Greece,Milwaukee Bucks
2020,Giannis Antetokounmpo, Greece,Milwaukee Bucks
2021,Nikola Jokic, Serbia,Denver Nuggets
2022,Nikola Jokic, Serbia,Denver Nuggets
2023,Joel Embiid, Cameroon,Philadelphia 76ers
