,All-Star,DPOY,MVP,ROTY,FMVP,Six-Man,All-NBA
LeBron James,20.0,0.0,4.0,1.0,4.0,0.0,19.0
Kareem Abdul-Jabbar,19.0,0.0,6.0,1.0,2.0,0.0,15.0
Kobe Bryant,18.0,0.0,1.0,0.0,2.0,0.0,15.0
Tim Duncan,15.0,0.0,2.0,1.0,3.0,0.0,15.0
Kevin Garnett,15.0,1.0,1.0,0.0,0.0,0.0,9.0
Shaquille O'Neal,15.0,0.0,1.0,1.0,3.0,0.0,14.0
Kevin Durant,14.0,0.0,1.0,1.0,2.0,0.0,10.0
Michael Jordan,14.0,1.0,5.0,1.0,6.0,0.0,11.0
Karl Malone,14.0,0.0,2.0,0.0,0.0,0.0,14.0
Dirk Nowitzki,14.0,0.0,1.0,0.0,1.0,0.0,12.0
Jerry West,14.0,0.0,0.0,0.0,1.0,0.0,12.0
Wilt Chamberlain,13.0,0.0,4.0,1.0,1.0,0.0,10.0
Bob Cousy,13.0,0.0,0.0,0.0,0.0,0.0,8.0
John Havlicek,13.0,0.0,0.0,0.0,1.0,0.0,11.0
Dwyane Wade,13.0,0.0,0.0,0.0,1.0,0.0,8.0
Larry Bird,12.0,0.0,3.0,1.0,2.0,0.0,10.0
Elvin Hayes,12.0,0.0,0.0,0.0,0.0,0.0,6.0
Magic Johnson,12.0,0.0,3.0,0.0,3.0,0.0,10.0
Moses Malone,12.0,0.0,3.0,0.0,1.0,0.0,8.0
Hakeem Olajuwon,12.0,2.0,1.0,0.0,2.0,0.0,12.0
Chris Paul,12.0,0.0,0.0,1.0,0.0,0.0,11.0
Oscar Robertson,12.0,0.0,1.0,1.0,0.0,0.0,11.0
Bill Russell,12.0,0.0,5.0,0.0,0.0,0.0,11.0
Dolph Schayes,12.0,0.0,0.0,0.0,0.0,0.0,6.0
Isiah Thomas,12.0,0.0,0.0,0.0,1.0,0.0,5.0
Charles Barkley,11.0,0.0,1.0,0.0,0.0,0.0,11.0
Elgin Baylor,11.0,0.0,0.0,1.0,0.0,0.0,10.0
Chris Bosh,11.0,0.0,0.0,0.0,0.0,0.0,1.0
Julius Erving,11.0,0.0,1.0,0.0,0.0,0.0,7.0
Patrick Ewing,11.0,0.0,0.0,1.0,0.0,0.0,7.0
Allen Iverson,11.0,0.0,1.0,1.0,0.0,0.0,7.0
Bob Pettit,11.0,0.0,2.0,1.0,0.0,0.0,10.0
Ray Allen,10.0,0.0,0.0,0.0,0.0,0.0,2.0
Carmelo Anthony,10.0,0.0,0.0,0.0,0.0,0.0,6.0
Paul Arizin,10.0,0.0,0.0,0.0,0.0,0.0,3.0
